HARPNUM,NOAA,Class,Time,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH
4698,12192,M8.7,2014.10.21_01:59_TAI,1.38001E+23,95.271,-0.00596269,17310.74,41.447,12354.98,55.462,-0.01065686,48.51,109.576,0.07297926,2.10651E+14,2.13815E+13,4.38673E+24,43.553,5533.27832,5.35,1137.754
4698,12192,M2.7,2014.10.21_05:17_TAI,1.3243E+23,97.22,-0.00602499,18254.02,43.699,11889.348,58.911,-0.00992013,49.681,110.793,0.02850861,2.04226E+14,2.27991E+13,4.27377E+24,44.433,5655.849121,5.363,1062.146
4698,12192,X1.6,2014.10.21_14:28_TAI,1.28726E+23,95.14,-0.00618713,18761.59,46.814,11688.285,59.802,-0.01072704,51.38,109.813,0.10008512,2.13293E+14,2.61038E+13,4.38331E+24,46.038,5950.770996,5.382,1088.422
4698,12192,M1.1,2014.10.22_09:50_TAI,1.32142E+23,95.75,-0.00358483,20200.48,50.353,11448.595,60.74,-0.00620174,53.215,109.191,0.12510623,2.16354E+14,1.19174E+13,4.90322E+24,47.543,6501.41748,5.398,655.189
4698,12192,X3.1,2014.10.23_21:41_TAI,1.42202E+23,95.081,-0.00287493,19356.54,53.128,11477.119,59.935,-0.00512563,54.666,104.974,0.0581721,2.21072E+14,6.21447E+12,5.27635E+24,49.2,6846.543945,5.417,590.085
4698,12192,X1.0,2014.10.24_17:08_TAI,1.50266E+23,96.008,-0.00348048,18389.8,50.852,12280.969,58.114,-0.00587998,53.155,105.777,0.02138764,2.26661E+14,1.18392E+13,5.15136E+24,47.855,7044.97998,5.359,734.111
4698,12192,X2.0,2014.10.25_10:56_TAI,1.64496E+23,92.418,-0.00207693,16178.9,44.031,12732.282,53.888,-0.00395699,49.566,102.635,0.12099912,2.38175E+14,2.56895E+13,5.14919E+24,44.603,7142.945801,5.459,497.723
4698,12192,M1.0,2014.10.25_17:17_TAI,1.69536E+23,97.407,-0.00191454,17386.12,41.615,13597.732,55.521,-0.00314168,47.911,108.259,0.019674,2.3309E+14,3.92507E+13,5.19277E+24,43.145,7112.023438,5.475,430.566
4698,12192,M1.9,2014.10.25_18:49_TAI,1.76588E+23,94.295,-0.00188722,15921.77,40.337,13236.691,52.707,-0.00339547,47.286,104.449,0.0936707,2.40311E+14,3.70304E+13,5.22465E+24,42.619,7067.698242,5.451,466.287
4698,12192,M2.4,2014.10.25_20:21_TAI,1.74504E+23,95.998,-0.00299593,16253.26,40.691,13129.162,54.482,-0.00516933,47.364,105.102,0.05260317,2.36778E+14,2.60309E+13,5.1239E+24,42.64,6992.087891,5.41,711.149
4698,12192,M7.1,2014.10.26_00:34_TAI,1.76532E+23,94.377,-0.00211513,15912.16,39.001,13100.229,53.588,-0.00361299,46.577,103.276,0.02170521,2.36664E+14,3.59185E+13,5.02495E+24,41.852,6900.827637,5.3,502.941
4698,12192,M1.0,2014.10.26_02:02_TAI,1.77796E+23,95.462,-0.00249516,16028.9,38.731,13148.165,54.285,-0.00419135,46.425,104.151,0.01047254,2.353E+14,3.4648E+13,5.02309E+24,41.656,6936.214844,5.369,588.748
